id,description,gif
11,Stack Operation,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/stack_operations.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uvc3RhY2tfb3BlcmF0aW9ucy5naWYiLCJpYXQiOjE3MjEwMTY4NDcsImV4cCI6MTc1MjU1Mjg0N30.a7xKM6inOON2YcdQazTHN0PcIHV0Bs-lOUjpwc8VVTo&t=2024-07-15T04%3A14%3A07.202Z
12,Red Black Tree,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/red_black_tree.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvcmVkX2JsYWNrX3RyZWUuZ2lmIiwiaWF0IjoxNzIxMDIwMDAwLCJleHAiOjE3NTI1NTYwMDB9.uDm9UENQp1eTa0XQSRELm48V77sVVsLizOVUssmMMIQ&t=2024-07-15T05%3A06%3A41.182Z
13,Red Black Tree Deletation,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/red_black_tree_delete.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvcmVkX2JsYWNrX3RyZWVfZGVsZXRlLmdpZiIsImlhdCI6MTcyMTAyMTAyMCwiZXhwIjoxNzUyNTU3MDIwfQ.aYGdTqiC_7Td9G20JRCnSFjrKnBo0x4RRA0m-eKxvEM&t=2024-07-15T05%3A23%3A40.415Z
14,Hash Table (Chaining),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/hash_table_chaining.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvaGFzaF90YWJsZV9jaGFpbmluZy5naWYiLCJpYXQiOjE3MjEwMjk1NTQsImV4cCI6MTc1MjU2NTU1NH0.fHwJgJAbYGFkrPMJ0j31u0S7QaQlnL4SJyQ1QymBXxE&t=2024-07-15T07%3A45%3A54.616Z
15,Hash Table (Linear Probing),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/hash_table_linear.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvaGFzaF90YWJsZV9saW5lYXIuZ2lmIiwiaWF0IjoxNzIxMDI5NjAzLCJleHAiOjE3NTI1NjU2MDN9.msk9WogAI20P1GCblayvOvV6qkG79QzUjB19SlN2yx8&t=2024-07-15T07%3A46%3A43.869Z
16,Max flow Min cut ( Ford fulkerson),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/ford_fulkerson_highlighted.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvZm9yZF9mdWxrZXJzb25faGlnaGxpZ2h0ZWQuZ2lmIiwiaWF0IjoxNzIxMDU0NTgyLCJleHAiOjE3NTI1OTA1ODJ9.MWpCwS1uG4mxug6nBcyAVWJwjSs0KwMo_SfaU09F9vY&t=2024-07-15T14%3A43%3A03.427Z
17,Single linked list,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/singly_linked_list.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uvc2luZ2x5X2xpbmtlZF9saXN0LmdpZiIsImlhdCI6MTcyMTA2ODY0MCwiZXhwIjoxNzUyNjA0NjQwfQ.0Cfqfex0lNdl_0xzdkCdw2WjhuLO8-hhS5z5wVJEeLQ&t=2024-07-15T18%3A37%3A21.037Z
18,Double linked list,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/doubly_linked_list.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvZG91Ymx5X2xpbmtlZF9saXN0LmdpZiIsImlhdCI6MTcyMTA2ODY4MiwiZXhwIjoxNzUyNjA0NjgyfQ.vVPHyz73eMAbPsW3F-v2k4b4_LUzD9zvXUbTfd0wd7Y&t=2024-07-15T18%3A38%3A03.049Z
19,Single source shortest path (Bellman ford),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/bellman_ford_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvYmVsbG1hbl9mb3JkX2FuaW1hdGlvbi5naWYiLCJpYXQiOjE3MjEwNzUwMzksImV4cCI6MTc1MjYxMTAzOX0.ewRs_BsN1Zt-Me5pDpL8RfSzy1XYrpautw68OQlFPiE&t=2024-07-15T20%3A23%3A59.621Z
20,Suffix Array,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/suffix_array_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uvc3VmZml4X2FycmF5X2FuaW1hdGlvbi5naWYiLCJpYXQiOjE3MjExMzk5MzUsImV4cCI6MTc1MjY3NTkzNX0.KO3rBV29wEPn3QFgadX3VPlU3My419ztPz0EuCRWUwg&t=2024-07-16T14%3A25%3A35.107Z
21,Max Heap,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/max_heap_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvbWF4X2hlYXBfYW5pbWF0aW9uLmdpZiIsImlhdCI6MTcyMTE0Mjk2MiwiZXhwIjoxNzUyNjc4OTYyfQ.08z9JxpvIGVVHEFcE2PgrYTFydtuAIwjS12AefSIR-o&t=2024-07-16T15%3A16%3A03.105Z
22,Min Heap,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/min_heap_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvbWluX2hlYXBfYW5pbWF0aW9uLmdpZiIsImlhdCI6MTcyMTE0Mjk5NSwiZXhwIjoxNzUyNjc4OTk1fQ.jZcbRTJ5qvp4wtd6IcZeFB5bVJxEn6kTGTN0RInfsjs&t=2024-07-16T15%3A16%3A35.853Z
23,Suffix Tree,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/suffix_tree_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uvc3VmZml4X3RyZWVfYW5pbWF0aW9uLmdpZiIsImlhdCI6MTcyMTE0MzU5NCwiZXhwIjoxNzUyNjc5NTk0fQ.rzzRXXeajzD_OLp8DFKUWVGIsU6KgumgvTTOZ5g7xdk&t=2024-07-16T15%3A26%3A34.686Z
24,Adjancey Matrix,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/adjacency_matrix_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvYWRqYWNlbmN5X21hdHJpeF9hbmltYXRpb24uZ2lmIiwiaWF0IjoxNzIxMTQ0OTQwLCJleHAiOjE3NTI2ODA5NDB9.Ar9tIwewQ2sn4-FLW8aAoai2r7EvOuFwga_OUEFVRHY&t=2024-07-16T15%3A49%3A00.624Z
25,Adjancey List,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/adjacency_list_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvYWRqYWNlbmN5X2xpc3RfYW5pbWF0aW9uLmdpZiIsImlhdCI6MTcyMTE0NTA0MywiZXhwIjoxNzUyNjgxMDQzfQ.gZ5iWNqViC6YWhd56tbPDxXIbuHiTO9eDkCOMvsL4sk&t=2024-07-16T15%3A50%3A43.365Z
26,Knapsack algo,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/knapsack_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uva25hcHNhY2tfYW5pbWF0aW9uLmdpZiIsImlhdCI6MTcyMTE0OTMzMSwiZXhwIjoxNzUyNjg1MzMxfQ.i42QY-bHY7pZHsrxnfrkVnU74Prqh_nvpGZnzgYTuaU&t=2024-07-16T17%3A02%3A12.018Z
27,Hamiltonian Path,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/hamiltonian_path.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvaGFtaWx0b25pYW5fcGF0aC5naWYiLCJpYXQiOjE3MjExNTgwNjIsImV4cCI6MTc1MjY5NDA2Mn0.ossV92m3eVbhlBstH_Neu6OBnab0PpZHzqMckbDG_3E&t=2024-07-16T19%3A27%3A42.960Z
28,Hamiltonian Cycle,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/hamiltonian_cycle.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvaGFtaWx0b25pYW5fY3ljbGUuZ2lmIiwiaWF0IjoxNzIxMTU4MTAxLCJleHAiOjE3NTI2OTQxMDF9.Q_WXgLKad1jCgLSUew4loBL7qcPhZcAlxj-gJC7C7tw&t=2024-07-16T19%3A28%3A21.335Z
29,"Tarjan’s Algorithm (Strongly Connected Components)
",https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/tarjan_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvdGFyamFuX2FuaW1hdGlvbi5naWYiLCJpYXQiOjE3MjExNjQ0NDAsImV4cCI6MTc1MjcwMDQ0MH0.2RPiZ1H8Pm65if4p0NwUtXYz6odGfsf6SHBWr8MHg2Q&t=2024-07-16T21%3A14%3A00.379Z
30,"Trie (prefix tree) insertion ",https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/trie_insertion.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvdHJpZV9pbnNlcnRpb24uZ2lmIiwiaWF0IjoxNzI0MTMzNTUzLCJleHAiOjE3NTU2Njk1NTN9.idN1uROUcyrG6Z5v4eAkzE2y_WFcKScB69H5Duw3xwQ&t=2024-08-20T05%3A59%3A10.733Z
31,Backtracking (N-queen),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/nqueens_backtracking.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvbnF1ZWVuc19iYWNrdHJhY2tpbmcuZ2lmIiwiaWF0IjoxNzI0MTM0MzIxLCJleHAiOjE3NTU2NzAzMjF9.dAm6VmXc-fzej9MzUV8za8Wg1huzBpGZN-FARohMmqU&t=2024-08-20T06%3A11%3A58.745Z
32,"Bubble sort ",https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/bubble_sort_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvYnViYmxlX3NvcnRfYW5pbWF0aW9uLmdpZiIsImlhdCI6MTcyNDEzNTgzMCwiZXhwIjoxNzU1NjcxODMwfQ.v8sqLiV04zjw8g-cXPnE-hmH5D8gbwDL7tlBE5OM61g&t=2024-08-20T06%3A37%3A07.428Z
33,Merge sort (Node),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/merge_sort_animation_dots_enlarged.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvbWVyZ2Vfc29ydF9hbmltYXRpb25fZG90c19lbmxhcmdlZC5naWYiLCJpYXQiOjE3MjQxMzY5MjUsImV4cCI6MTc1NTY3MjkyNX0.ti1RWM_ixSS8PgE1yW0sbozEh41AdkDoKuRRNRpkkkE&t=2024-08-20T06%3A55%3A23.642Z
34,Merge Sort (Bar),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/merge_sort_animation_bars.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvbWVyZ2Vfc29ydF9hbmltYXRpb25fYmFycy5naWYiLCJpYXQiOjE3MjQxMzc0NzQsImV4cCI6MTc1NTY3MzQ3NH0.bWzTIsJBF5ke7eUrAnR63-BF887XEv07_G3FyY-mgwU&t=2024-08-20T07%3A04%3A31.796Z
35,Union Disjoint set,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/union_find_random_graph_with_parent_array.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvdW5pb25fZmluZF9yYW5kb21fZ3JhcGhfd2l0aF9wYXJlbnRfYXJyYXkuZ2lmIiwiaWF0IjoxNzI0MTQxMDk4LCJleHAiOjE3NTU2NzcwOTh9.Yf90sN2iQ886ZEzDPHOHAOUdtl3I3wfQYUC9Grn8knY&t=2024-08-20T08%3A04%3A55.895Z
36,Queue Operation,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/queue_operations_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvcXVldWVfb3BlcmF0aW9uc19hbmltYXRpb24uZ2lmIiwiaWF0IjoxNzI0MTQ1MjQ0LCJleHAiOjE3NTU2ODEyNDR9.gCsVFaPkgPIeSQ_-7wCZdt-JxgiOveEHAPHZ-vNmfDo&t=2024-08-20T09%3A14%3A01.548Z
37,Dequq operation,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/deque_operations_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvZGVxdWVfb3BlcmF0aW9uc19hbmltYXRpb24uZ2lmIiwiaWF0IjoxNzI0MTQ2MjAzLCJleHAiOjE3NTU2ODIyMDN9.lGwSmlSMfECxMD2ZfQkmmq6bUyGAxe8wlQl08MMd3Jc&t=2024-08-20T09%3A30%3A01.137Z
38,KMP Algo (substring matching),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/kmp_algorithm_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uva21wX2FsZ29yaXRobV9hbmltYXRpb24uZ2lmIiwiaWF0IjoxNzI0MTQ3MTIzLCJleHAiOjE3NTU2ODMxMjN9.HTduG0Fko8EI7_Ju1zpIE190a_DC73M9l9CCLip46Kw&t=2024-08-20T09%3A45%3A20.936Z
39,Rabin-Karp Algo (Pattern Matching),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/rabin_karp_algorithm_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvcmFiaW5fa2FycF9hbGdvcml0aG1fYW5pbWF0aW9uLmdpZiIsImlhdCI6MTcyNDE0NzU0NywiZXhwIjoxNzU1NjgzNTQ3fQ.172QDzkquyuigKEdCZks5KI9pcuiAENH6HNGqdGjo5o&t=2024-08-20T09%3A52%3A25.154Z
40,A* serching,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/astar_algorithm_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvYXN0YXJfYWxnb3JpdGhtX2FuaW1hdGlvbi5naWYiLCJpYXQiOjE3MjQxNTA1MTgsImV4cCI6MTc1NTY4NjUxOH0.uVbCQbSPX_s2uavL35RgQj8SbPUKf4FqBYmgRBrW9T0&t=2024-08-20T10%3A41%3A55.238Z
41,Fenwick Tree (Binary Indexed Tree),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/fenwick_tree_with_arrays.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvZmVud2lja190cmVlX3dpdGhfYXJyYXlzLmdpZiIsImlhdCI6MTcyNDE1NjgzNywiZXhwIjoxNzU1NjkyODM3fQ.SEInKsfCFHYiFKALU5eP-bsWyki5tWHNvgOdMFJNU4M&t=2024-08-20T12%3A27%3A14.342Z
42,MST Prim Algo,https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/prims_mst_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvcHJpbXNfbXN0X2FuaW1hdGlvbi5naWYiLCJpYXQiOjE3MjQxNjA4NzYsImV4cCI6MTc1NTY5Njg3Nn0.zxexn9LlO8dezLv3H0AsXnUfJsOWYLA5vmo0-691aaY&t=2024-08-20T13%3A34%3A34.048Z
43,Bipartite Matching ( Bipartite Graph),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/bipartite_check_graph.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvYmlwYXJ0aXRlX2NoZWNrX2dyYXBoLmdpZiIsImlhdCI6MTcyNDE4MDEzMywiZXhwIjoxNzU1NzE2MTMzfQ.K29Si_uxfpqprgsdpoFB6rW4xO6FMn4FEOymj8axCjY&t=2024-08-20T18%3A55%3A30.241Z
44,Bipartite Matching (Non Bipartite Graph),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/nonbipartite_check_graph.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uvbm9uYmlwYXJ0aXRlX2NoZWNrX2dyYXBoLmdpZiIsImlhdCI6MTcyNDE4MDMzMiwiZXhwIjoxNzU1NzE2MzMyfQ.yhPl230B4FtHxAW1bjuDFUMP0sXAMRBZbk0J4NVBeXU&t=2024-08-20T18%3A58%3A49.586Z
45,Sliding Window Algo (Finding Max subarray with size k),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/sliding_window_maximum.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uvc2xpZGluZ193aW5kb3dfbWF4aW11bS5naWYiLCJpYXQiOjE3MjQxODMxODMsImV4cCI6MTc1NTcxOTE4M30.LVfp4Ky_cxpFDSCfKFZH0nxe2DXNaX9GYs5WgkCoRLw&t=2024-08-20T19%3A46%3A20.202Z
46,Z-algorithm (pattern Matching),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/z_algorithm_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2Uvel9hbGdvcml0aG1fYW5pbWF0aW9uLmdpZiIsImlhdCI6MTcyNDE4NDA0NiwiZXhwIjoxNzU1NzIwMDQ2fQ.cvxBdCq7oezvCFGzJTLwW1eDKqJ3MA36UhadFAdJUFU&t=2024-08-20T20%3A00%3A43.797Z
47,Morris Traversal ( Inorder traversal without recurssion /stack),https://vqyvimiezrpfmtursqdx.supabase.co/storage/v1/object/sign/Gif%20Raw%20Storage/morris_traversal_animation.gif?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1cmwiOiJHaWYgUmF3IFN0b3JhZ2UvbW9ycmlzX3RyYXZlcnNhbF9hbmltYXRpb24uZ2lmIiwiaWF0IjoxNzI0MTg1ODE2LCJleHAiOjE3NTU3MjE4MTZ9.Dk38cx0crwBbeWR11-bG13QQ2IjcZMKmIQW7RRp4BaY&t=2024-08-20T20%3A30%3A13.396Z
